"Subject"	"Stimuli"	"Trustworthy"	"Face_trust"	"RT"	"Trust"
14206	52	-0.5	3.4	1.43423627967786	1
14206	40	0.5	3.563218391	0.621637208510947	1
14206	24	0.5	2.806451613	0.986816334476316	1
14206	64	-0.5	2.827586207	2.9280377519899	1
14206	1	0.5	3.302083333	3.04148673290547	1
14206	50	0.5	3.392857143	0.866562977145804	1
14206	61	-0.5	3.592592593	0.335953711830371	1
14206	44	0.5	3.125	0.359378538254532	1
14206	13	-0.5	4.163043478	1.44976024281641	1
14206	60	0.5	3.266666667	1.05901396961417	1
14206	2	-0.5	3.215053763	0.758352104712685	1
14206	15	-0.5	3.494505495	2.603637211163	0
14218	34	-0.5	3.174418605	12.7065384651041	1
14218	63	0.5	3	1.36848414662745	1
14218	5	0.5	3.776595745	5.24070038761056	1
14218	21	-0.5	3.731707317	1.54687084099714	0
14218	31	-0.5	3.29787234	6.78520676325752	1
14218	6	0.5	3.56043956	4.59237670150833	0
14218	35	0.5	3.090909091	4.20548865837918	1
14218	61	-0.5	3.592592593	3.39366692754629	0
14218	45	0.5	3.346153846	2.56623151499298	1
14218	54	-0.5	3.703703704	3.16326696144642	1
14218	29	-0.5	3.370786517	1.24760673200581	1
